BASE,CODIGO,STRIKE,EXPIRE,ATIVO,TIPO,E_SERIE
ELET,ELETI240,23.27,2023-09-15,ELET,COMPRA,I
ELET,ELETU240,23.27,2023-09-15,ELET,VENDA,U
ELET,ELETI260,25.27,2023-09-15,ELET,COMPRA,I
ELET,ELETU260,25.27,2023-09-15,ELET,VENDA,U
ELET,ELETD265,26.50,2023-04-20,ELET,COMPRA,D
ELET,ELETP265,26.50,2023-04-20,ELET,VENDA,P
ELET,ELETD270,27.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP270,27.00,2023-04-20,ELET,VENDA,P
ELET,ELETI280,27.27,2023-09-15,ELET,COMPRA,I
ELET,ELETU280,27.27,2023-09-15,ELET,VENDA,U
ELET,ELETD275,27.50,2023-04-20,ELET,COMPRA,D
ELET,ELETP275,27.50,2023-04-20,ELET,VENDA,P
ELET,ELETD280,28.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP280,28.00,2023-04-20,ELET,VENDA,P
ELET,ELETD285,28.50,2023-04-20,ELET,COMPRA,D
ELET,ELETP285,28.50,2023-04-20,ELET,VENDA,P
ELET,ELETD290,29.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP290,29.00,2023-04-20,ELET,VENDA,P
ELET,ELETI300,29.27,2023-09-15,ELET,COMPRA,I
ELET,ELETU300,29.27,2023-09-15,ELET,VENDA,U
ELET,ELETD295,29.50,2023-04-20,ELET,COMPRA,D
ELET,ELETP295,29.50,2023-04-20,ELET,VENDA,P
ELET,ELETD300,30.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP300,30.00,2023-04-20,ELET,VENDA,P
ELET,ELETC302,30.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO302,30.25,2023-03-17,ELET,VENDA,O
ELET,ELETD305,30.50,2023-04-20,ELET,COMPRA,D
ELET,ELETP305,30.50,2023-04-20,ELET,VENDA,P
ELET,ELETC307,30.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO307,30.75,2023-03-17,ELET,VENDA,O
ELET,ELETD310,31.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP310,31.00,2023-04-20,ELET,VENDA,P
ELET,ELETC312,31.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO312,31.25,2023-03-17,ELET,VENDA,O
ELET,ELETI320,31.27,2023-09-15,ELET,COMPRA,I
ELET,ELETU320,31.27,2023-09-15,ELET,VENDA,U
ELET,ELETD315,31.50,2023-04-20,ELET,COMPRA,D
ELET,ELETP315,31.50,2023-04-20,ELET,VENDA,P
ELET,ELETC317,31.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO317,31.75,2023-03-17,ELET,VENDA,O
ELET,ELETD320,32.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP320,32.00,2023-04-20,ELET,VENDA,P
ELET,ELETH320,32.00,2023-08-18,ELET,COMPRA,H
ELET,ELETT320,32.00,2023-08-18,ELET,VENDA,T
ELET,ELETC322,32.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO322,32.25,2023-03-17,ELET,VENDA,O
ELET,ELETD325,32.50,2023-04-20,ELET,COMPRA,D
ELET,ELETP325,32.50,2023-04-20,ELET,VENDA,P
ELET,ELETC327,32.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO327,32.75,2023-03-17,ELET,VENDA,O
ELET,ELETD330,33.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP330,33.00,2023-04-20,ELET,VENDA,P
ELET,ELETE330,33.00,2023-05-19,ELET,COMPRA,E
ELET,ELETQ330,33.00,2023-05-19,ELET,VENDA,Q
ELET,ELETC332,33.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO332,33.25,2023-03-17,ELET,VENDA,O
ELET,ELETC335,33.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO335,33.50,2023-03-17,ELET,VENDA,O
ELET,ELETD335,33.50,2023-04-20,ELET,COMPRA,D
ELET,ELETP335,33.50,2023-04-20,ELET,VENDA,P
ELET,ELETG335,33.50,2023-07-21,ELET,COMPRA,G
ELET,ELETT320,33.50,2023-07-21,ELET,VENDA,T
ELET,ELETC322,33.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO322,33.75,2023-03-17,ELET,VENDA,O
ELET,ELETD325,34.00,2023-03-17,ELET,COMPRA,D
ELET,ELETP325,34.00,2023-03-17,ELET,VENDA,P
ELET,ELETC327,34.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO327,34.00,2023-04-20,ELET,VENDA,O
ELET,ELETD330,34.25,2023-03-17,ELET,COMPRA,D
ELET,ELETP330,34.25,2023-03-17,ELET,VENDA,P
ELET,ELETE330,34.50,2023-03-17,ELET,COMPRA,E
ELET,ELETQ330,34.50,2023-03-17,ELET,VENDA,Q
ELET,ELETC332,34.50,2023-04-20,ELET,COMPRA,C
ELET,ELETO335,34.50,2023-04-20,ELET,VENDA,O
ELET,ELETD335,34.75,2023-03-17,ELET,COMPRA,D
ELET,ELETP335,34.75,2023-03-17,ELET,VENDA,P
ELET,ELETG335,35.00,2023-03-17,ELET,COMPRA,G
ELET,ELETS335,35.00,2023-03-17,ELET,VENDA,S
ELET,ELETC337,35.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO337,35.00,2023-04-20,ELET,VENDA,O
ELET,ELETC340,35.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO340,35.25,2023-03-17,ELET,VENDA,O
ELET,ELETD340,35.50,2023-03-17,ELET,COMPRA,D
ELET,ELETP340,35.50,2023-03-17,ELET,VENDA,P
ELET,ELETC342,35.50,2023-04-20,ELET,COMPRA,C
ELET,ELETO342,35.50,2023-04-20,ELET,VENDA,O
ELET,ELETC345,35.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO345,35.75,2023-03-17,ELET,VENDA,O
ELET,ELETD345,36.00,2023-03-17,ELET,COMPRA,D
ELET,ELETP345,36.00,2023-03-17,ELET,VENDA,P
ELET,ELETC347,36.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO347,36.00,2023-04-20,ELET,VENDA,O
ELET,ELETC350,36.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO350,36.25,2023-03-17,ELET,VENDA,O
ELET,ELETD350,36.50,2023-03-17,ELET,COMPRA,D
ELET,ELETP350,36.50,2023-03-17,ELET,VENDA,P
ELET,ELETC352,36.50,2023-04-20,ELET,COMPRA,C
ELET,ELETO352,36.50,2023-04-20,ELET,VENDA,O
ELET,ELETC355,36.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO355,36.75,2023-03-17,ELET,VENDA,O
ELET,ELETD355,37.00,2023-03-17,ELET,COMPRA,D
ELET,ELETP355,37.00,2023-03-17,ELET,VENDA,P
ELET,ELETC357,37.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO357,37.00,2023-04-20,ELET,VENDA,O
ELET,ELETC360,37.00,2023-05-19,ELET,COMPRA,C
ELET,ELETO360,37.00,2023-05-19,ELET,VENDA,O
ELET,ELETD360,37.00,2023-12-15,ELET,COMPRA,D
ELET,ELETP360,37.00,2023-12-15,ELET,VENDA,P
ELET,ELETC362,37.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO362,37.25,2023-03-17,ELET,VENDA,O
ELET,ELETC365,37.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO365,37.50,2023-03-17,ELET,VENDA,O
ELET,ELETD365,37.50,2023-04-20,ELET,COMPRA,D
ELET,ELETP365,37.50,2023-04-20,ELET,VENDA,P
ELET,ELETC367,37.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO367,37.75,2023-03-17,ELET,VENDA,O
ELET,ELETC370,38.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO370,38.00,2023-03-17,ELET,VENDA,O
ELET,ELETD370,38.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP370,38.00,2023-04-20,ELET,VENDA,P
ELET,ELETE370,38.25,2023-03-17,ELET,COMPRA,E
ELET,ELETQ370,38.25,2023-03-17,ELET,VENDA,Q
ELET,ELETL370,38.50,2023-03-17,ELET,COMPRA,L
ELET,ELETX370,38.50,2023-03-17,ELET,VENDA,X
ELET,ELETC372,38.50,2023-04-20,ELET,COMPRA,C
ELET,ELETO372,38.50,2023-04-20,ELET,VENDA,O
ELET,ELETC375,38.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO375,38.75,2023-03-17,ELET,VENDA,O
ELET,ELETD375,39.00,2023-03-17,ELET,COMPRA,D
ELET,ELETP375,39.00,2023-03-17,ELET,VENDA,P
ELET,ELETC377,39.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO377,39.00,2023-04-20,ELET,VENDA,O
ELET,ELETC380,39.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO380,39.25,2023-03-17,ELET,VENDA,O
ELET,ELETD380,39.50,2023-03-17,ELET,COMPRA,D
ELET,ELETP380,39.50,2023-03-17,ELET,VENDA,P
ELET,ELETC382,39.50,2023-04-20,ELET,COMPRA,C
ELET,ELETO382,39.50,2023-04-20,ELET,VENDA,O
ELET,ELETC385,39.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO385,39.75,2023-03-17,ELET,VENDA,O
ELET,ELETD385,39.75,2023-05-19,ELET,COMPRA,D
ELET,ELETP385,39.75,2023-05-19,ELET,VENDA,P
ELET,ELETC387,40.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO387,40.00,2023-03-17,ELET,VENDA,O
ELET,ELETC390,40.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO390,40.00,2023-04-20,ELET,VENDA,O
ELET,ELETD390,40.00,2023-06-16,ELET,COMPRA,D
ELET,ELETP390,40.00,2023-06-16,ELET,VENDA,P
ELET,ELETC392,40.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO392,40.25,2023-03-17,ELET,VENDA,O
ELET,ELETC395,40.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO395,40.50,2023-03-17,ELET,VENDA,O
ELET,ELETD395,40.50,2023-04-20,ELET,COMPRA,D
ELET,ELETP395,40.50,2023-04-20,ELET,VENDA,P
ELET,ELETC397,40.50,2023-06-16,ELET,COMPRA,C
ELET,ELETO397,40.50,2023-06-16,ELET,VENDA,O
ELET,ELETE397,40.75,2023-03-17,ELET,COMPRA,E
ELET,ELETQ397,40.75,2023-03-17,ELET,VENDA,Q
ELET,ELETC400,41.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO400,41.00,2023-03-17,ELET,VENDA,O
ELET,ELETD400,41.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP400,41.00,2023-04-20,ELET,VENDA,P
ELET,ELETF400,41.00,2023-06-16,ELET,COMPRA,F
ELET,ELETR400,41.00,2023-06-16,ELET,VENDA,R
ELET,ELETC402,41.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO402,41.25,2023-03-17,ELET,VENDA,O
ELET,ELETC405,41.25,2023-05-19,ELET,COMPRA,C
ELET,ELETO405,41.25,2023-05-19,ELET,VENDA,O
ELET,ELETD405,41.50,2023-03-17,ELET,COMPRA,D
ELET,ELETP405,41.50,2023-03-17,ELET,VENDA,P
ELET,ELETF405,41.50,2023-04-20,ELET,COMPRA,F
ELET,ELETR405,41.50,2023-04-20,ELET,VENDA,R
ELET,ELETC407,41.50,2023-06-16,ELET,COMPRA,C
ELET,ELETO407,41.50,2023-06-16,ELET,VENDA,O
ELET,ELETC410,41.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO410,41.75,2023-03-17,ELET,VENDA,O
ELET,ELETD410,41.75,2023-07-21,ELET,COMPRA,D
ELET,ELETP410,41.75,2023-07-21,ELET,VENDA,P
ELET,ELETF410,42.00,2023-03-17,ELET,COMPRA,F
ELET,ELETR410,42.00,2023-03-17,ELET,VENDA,R
ELET,ELETC412,42.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO412,42.00,2023-04-20,ELET,VENDA,O
ELET,ELETE412,42.00,2023-06-16,ELET,COMPRA,E
ELET,ELETQ412,42.00,2023-06-16,ELET,VENDA,Q
ELET,ELETC415,42.00,2023-12-15,ELET,COMPRA,C
ELET,ELETO415,42.00,2023-12-15,ELET,VENDA,O
ELET,ELETD415,42.25,2023-03-17,ELET,COMPRA,D
ELET,ELETP415,42.25,2023-03-17,ELET,VENDA,P
ELET,ELETF415,42.50,2023-03-17,ELET,COMPRA,F
ELET,ELETR415,42.50,2023-03-17,ELET,VENDA,R
ELET,ELETC417,42.50,2023-04-20,ELET,COMPRA,C
ELET,ELETO417,42.50,2023-04-20,ELET,VENDA,O
ELET,ELETG417,42.50,2023-06-16,ELET,COMPRA,G
ELET,ELETS417,42.50,2023-06-16,ELET,VENDA,S
ELET,ELETC420,42.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO420,42.75,2023-03-17,ELET,VENDA,O
ELET,ELETD420,43.00,2023-03-17,ELET,COMPRA,D
ELET,ELETP420,43.00,2023-03-17,ELET,VENDA,P
ELET,ELETF420,43.00,2023-04-20,ELET,COMPRA,F
ELET,ELETR420,43.00,2023-04-20,ELET,VENDA,R
ELET,ELETL420,43.00,2023-06-16,ELET,COMPRA,L
ELET,ELETX420,43.00,2023-06-16,ELET,VENDA,X
ELET,ELETC422,43.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO422,43.25,2023-03-17,ELET,VENDA,O
ELET,ELETC425,43.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO425,43.50,2023-03-17,ELET,VENDA,O
ELET,ELETD425,43.50,2023-04-20,ELET,COMPRA,D
ELET,ELETP425,43.50,2023-04-20,ELET,VENDA,P
ELET,ELETF425,43.50,2023-06-16,ELET,COMPRA,F
ELET,ELETR425,43.50,2023-06-16,ELET,VENDA,R
ELET,ELETC427,43.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO427,43.75,2023-03-17,ELET,VENDA,O
ELET,ELETC430,44.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO430,44.00,2023-03-17,ELET,VENDA,O
ELET,ELETD430,44.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP430,44.00,2023-04-20,ELET,VENDA,P
ELET,ELETF430,44.00,2023-06-16,ELET,COMPRA,F
ELET,ELETR430,44.00,2023-06-16,ELET,VENDA,R
ELET,ELETC432,44.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO432,44.25,2023-03-17,ELET,VENDA,O
ELET,ELETC435,44.25,2023-07-21,ELET,COMPRA,C
ELET,ELETO435,44.25,2023-07-21,ELET,VENDA,O
ELET,ELETD435,44.50,2023-03-17,ELET,COMPRA,D
ELET,ELETP435,44.50,2023-03-17,ELET,VENDA,P
ELET,ELETF435,44.50,2023-04-20,ELET,COMPRA,F
ELET,ELETR435,44.50,2023-04-20,ELET,VENDA,R
ELET,ELETC437,44.50,2023-06-16,ELET,COMPRA,C
ELET,ELETO437,44.50,2023-06-16,ELET,VENDA,O
ELET,ELETC440,44.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO440,44.75,2023-03-17,ELET,VENDA,O
ELET,ELETD440,44.75,2023-05-19,ELET,COMPRA,D
ELET,ELETP440,44.75,2023-05-19,ELET,VENDA,P
ELET,ELETF440,45.00,2023-03-17,ELET,COMPRA,F
ELET,ELETR440,45.00,2023-03-17,ELET,VENDA,R
ELET,ELETC442,45.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO442,45.00,2023-04-20,ELET,VENDA,O
ELET,ELETG442,45.00,2023-06-16,ELET,COMPRA,G
ELET,ELETS442,45.00,2023-06-16,ELET,VENDA,S
ELET,ELETC445,45.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO445,45.25,2023-03-17,ELET,VENDA,O
ELET,ELETD445,45.25,2023-05-19,ELET,COMPRA,D
ELET,ELETP445,45.25,2023-05-19,ELET,VENDA,P
ELET,ELETF445,45.50,2023-03-17,ELET,COMPRA,F
ELET,ELETR445,45.50,2023-03-17,ELET,VENDA,R
ELET,ELETC447,45.50,2023-04-20,ELET,COMPRA,C
ELET,ELETO447,45.50,2023-04-20,ELET,VENDA,O
ELET,ELETE447,45.50,2023-06-16,ELET,COMPRA,E
ELET,ELETQ447,45.50,2023-06-16,ELET,VENDA,Q
ELET,ELETC450,45.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO450,45.75,2023-03-17,ELET,VENDA,O
ELET,ELETD450,45.75,2023-04-20,ELET,COMPRA,D
ELET,ELETP450,45.75,2023-04-20,ELET,VENDA,P
ELET,ELETF450,46.00,2023-03-17,ELET,COMPRA,F
ELET,ELETR450,46.00,2023-03-17,ELET,VENDA,R
ELET,ELETC452,46.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO452,46.00,2023-04-20,ELET,VENDA,O
ELET,ELETE452,46.00,2023-05-19,ELET,COMPRA,E
ELET,ELETQ452,46.00,2023-05-19,ELET,VENDA,Q
ELET,ELETC455,46.00,2023-06-16,ELET,COMPRA,C
ELET,ELETO455,46.00,2023-06-16,ELET,VENDA,O
ELET,ELETD455,46.00,2023-12-15,ELET,COMPRA,D
ELET,ELETP455,46.00,2023-12-15,ELET,VENDA,P
ELET,ELETF455,46.25,2023-03-17,ELET,COMPRA,F
ELET,ELETR455,46.25,2023-03-17,ELET,VENDA,R
ELET,ELETC457,46.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO457,46.50,2023-03-17,ELET,VENDA,O
ELET,ELETD457,46.50,2023-04-20,ELET,COMPRA,D
ELET,ELETP457,46.50,2023-04-20,ELET,VENDA,P
ELET,ELETC460,46.50,2023-06-16,ELET,COMPRA,C
ELET,ELETO460,46.50,2023-06-16,ELET,VENDA,O
ELET,ELETD460,46.75,2023-03-17,ELET,COMPRA,D
ELET,ELETP460,46.75,2023-03-17,ELET,VENDA,P
ELET,ELETE460,46.75,2023-04-20,ELET,COMPRA,E
ELET,ELETQ460,46.75,2023-04-20,ELET,VENDA,Q
ELET,ELETF460,46.75,2023-06-16,ELET,COMPRA,F
ELET,ELETR460,46.75,2023-06-16,ELET,VENDA,R
ELET,ELETL460,47.00,2023-03-17,ELET,COMPRA,L
ELET,ELETX460,47.00,2023-03-17,ELET,VENDA,X
ELET,ELETC462,47.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO462,47.00,2023-04-20,ELET,VENDA,O
ELET,ELETC465,47.00,2023-06-16,ELET,COMPRA,C
ELET,ELETO465,47.00,2023-06-16,ELET,VENDA,O
ELET,ELETD465,47.25,2023-03-17,ELET,COMPRA,D
ELET,ELETP465,47.25,2023-03-17,ELET,VENDA,P
ELET,ELETF465,47.50,2023-03-17,ELET,COMPRA,F
ELET,ELETR465,47.50,2023-03-17,ELET,VENDA,R
ELET,ELETC467,47.50,2023-04-20,ELET,COMPRA,C
ELET,ELETO467,47.50,2023-04-20,ELET,VENDA,O
ELET,ELETD467,47.50,2023-05-19,ELET,COMPRA,D
ELET,ELETP467,47.50,2023-05-19,ELET,VENDA,P
ELET,ELETF467,47.50,2023-06-16,ELET,COMPRA,F
ELET,ELETR467,47.50,2023-06-16,ELET,VENDA,R
ELET,ELETC470,47.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO470,47.75,2023-03-17,ELET,VENDA,O
ELET,ELETD470,47.75,2023-06-16,ELET,COMPRA,D
ELET,ELETP470,47.75,2023-06-16,ELET,VENDA,P
ELET,ELETF470,48.00,2023-03-17,ELET,COMPRA,F
ELET,ELETR470,48.00,2023-03-17,ELET,VENDA,R
ELET,ELETC472,48.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO472,48.00,2023-04-20,ELET,VENDA,O
ELET,ELETC475,48.00,2023-06-16,ELET,COMPRA,C
ELET,ELETO475,48.00,2023-06-16,ELET,VENDA,O
ELET,ELETD475,48.00,2023-07-21,ELET,COMPRA,D
ELET,ELETP475,48.00,2023-07-21,ELET,VENDA,P
ELET,ELETE475,48.25,2023-03-17,ELET,COMPRA,E
ELET,ELETQ475,48.25,2023-03-17,ELET,VENDA,Q
ELET,ELETF475,48.50,2023-03-17,ELET,COMPRA,F
ELET,ELETR475,48.50,2023-03-17,ELET,VENDA,R
ELET,ELETC477,48.50,2023-04-20,ELET,COMPRA,C
ELET,ELETO477,48.50,2023-04-20,ELET,VENDA,O
ELET,ELETF477,48.50,2023-06-16,ELET,COMPRA,F
ELET,ELETR477,48.50,2023-06-16,ELET,VENDA,R
ELET,ELETC480,48.75,2023-03-17,ELET,COMPRA,C
