BASE,CODIGO,STRIKE,EXPIRE,ATIVO,TIPO,E_SERIE
ELET,ELETO480,48.75,2023-03-17,ELET,VENDA,O
ELET,ELETD480,49.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP480,49.00,2023-04-20,ELET,VENDA,P
ELET,ELETF480,49.00,2023-06-16,ELET,COMPRA,F
ELET,ELETR480,49.00,2023-06-16,ELET,VENDA,R
ELET,ELETG480,49.00,2023-12-15,ELET,COMPRA,G
ELET,ELETS480,49.00,2023-12-15,ELET,VENDA,S
ELET,ELETC482,49.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO482,49.25,2023-03-17,ELET,VENDA,O
ELET,ELETC485,49.50,2023-04-20,ELET,COMPRA,C
ELET,ELETO485,49.50,2023-04-20,ELET,VENDA,O
ELET,ELETD485,49.50,2023-06-16,ELET,COMPRA,D
ELET,ELETP485,49.50,2023-06-16,ELET,VENDA,P
ELET,ELETF485,49.75,2023-03-17,ELET,COMPRA,F
ELET,ELETR485,49.75,2023-03-17,ELET,VENDA,R
ELET,ELETC487,50.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO487,50.00,2023-03-17,ELET,VENDA,O
ELET,ELETD490,50.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP490,50.00,2023-04-20,ELET,VENDA,P
ELET,ELETF490,50.00,2023-06-16,ELET,COMPRA,F
ELET,ELETR490,50.00,2023-06-16,ELET,VENDA,R
ELET,ELETL490,50.00,2023-12-15,ELET,COMPRA,L
ELET,ELETX490,50.00,2023-12-15,ELET,VENDA,X
ELET,ELETC492,50.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO492,50.50,2023-03-17,ELET,VENDA,O
ELET,ELETD495,50.50,2023-06-16,ELET,COMPRA,D
ELET,ELETP495,50.50,2023-06-16,ELET,VENDA,P
ELET,ELETF495,51.00,2023-03-17,ELET,COMPRA,F
ELET,ELETR495,51.00,2023-03-17,ELET,VENDA,R
ELET,ELETC497,51.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO497,51.00,2023-04-20,ELET,VENDA,O
ELET,ELETC500,51.00,2023-06-16,ELET,COMPRA,C
ELET,ELETO500,51.00,2023-06-16,ELET,VENDA,O
ELET,ELETD500,51.50,2023-03-17,ELET,COMPRA,D
ELET,ELETP500,51.50,2023-03-17,ELET,VENDA,P
ELET,ELETF500,51.50,2023-06-16,ELET,COMPRA,F
ELET,ELETR500,51.50,2023-06-16,ELET,VENDA,R
ELET,ELETL500,52.00,2023-03-17,ELET,COMPRA,L
ELET,ELETX500,52.00,2023-03-17,ELET,VENDA,X
ELET,ELETC505,52.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO505,52.00,2023-04-20,ELET,VENDA,O
ELET,ELETF505,52.00,2023-06-16,ELET,COMPRA,F
ELET,ELETR505,52.00,2023-06-16,ELET,VENDA,R
ELET,ELETC510,52.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO510,52.50,2023-03-17,ELET,VENDA,O
ELET,ELETD510,52.50,2023-06-16,ELET,COMPRA,D
ELET,ELETP510,52.50,2023-06-16,ELET,VENDA,P
ELET,ELETF510,53.00,2023-03-17,ELET,COMPRA,F
ELET,ELETR510,53.00,2023-03-17,ELET,VENDA,R
ELET,ELETC515,53.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO515,53.00,2023-04-20,ELET,VENDA,O
ELET,ELETF515,53.00,2023-06-16,ELET,COMPRA,F
ELET,ELETR515,53.00,2023-06-16,ELET,VENDA,R
ELET,ELETC520,53.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO520,53.50,2023-03-17,ELET,VENDA,O
ELET,ELETD520,53.50,2023-06-16,ELET,COMPRA,D
ELET,ELETP520,53.50,2023-06-16,ELET,VENDA,P
ELET,ELETF520,54.00,2023-03-17,ELET,COMPRA,F
ELET,ELETR520,54.00,2023-03-17,ELET,VENDA,R
ELET,ELETC525,54.00,2023-04-20,ELET,COMPRA,C
ELET,ELETO525,54.00,2023-04-20,ELET,VENDA,O
ELET,ELETF525,54.00,2023-06-16,ELET,COMPRA,F
ELET,ELETR525,54.00,2023-06-16,ELET,VENDA,R
ELET,ELETC530,54.27,2023-09-15,ELET,COMPRA,C
ELET,ELETO530,54.27,2023-09-15,ELET,VENDA,O
ELET,ELETD530,54.50,2023-03-17,ELET,COMPRA,D
ELET,ELETP530,54.50,2023-03-17,ELET,VENDA,P
ELET,ELETF530,54.50,2023-06-16,ELET,COMPRA,F
ELET,ELETR530,54.50,2023-06-16,ELET,VENDA,R
ELET,ELETC535,55.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO535,55.00,2023-03-17,ELET,VENDA,O
ELET,ELETF535,55.00,2023-06-16,ELET,COMPRA,F
ELET,ELETR535,55.00,2023-06-16,ELET,VENDA,R
ELET,ELETC540,55.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO540,55.50,2023-03-17,ELET,VENDA,O
ELET,ELETD540,56.00,2023-03-17,ELET,COMPRA,D
ELET,ELETP540,56.00,2023-03-17,ELET,VENDA,P
ELET,ELETF540,56.50,2023-03-17,ELET,COMPRA,F
ELET,ELETR540,56.50,2023-03-17,ELET,VENDA,R
ELET,ELETI550,57.00,2023-03-17,ELET,COMPRA,I
ELET,ELETU550,57.00,2023-03-17,ELET,VENDA,U
ELET,ELETC545,57.00,2023-5/-19,ELET,COMPRA,C
ELET,ELETO545,57.00,2023-5/-19,ELET,VENDA,O
ELET,ELETF545,57.50,2023-03-17,ELET,COMPRA,F
ELET,ELETR545,57.50,2023-03-17,ELET,VENDA,R
ELET,ELETC550,58.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO550,58.00,2023-03-17,ELET,VENDA,O
ELET,ELETF550,58.00,2023-04-20,ELET,COMPRA,F
ELET,ELETR550,58.00,2023-04-20,ELET,VENDA,R
ELET,ELETC555,58.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO555,58.50,2023-03-17,ELET,VENDA,O
ELET,ELETC560,59.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO560,59.00,2023-03-17,ELET,VENDA,O
ELET,ELETC565,59.27,2023-09-15,ELET,COMPRA,C
ELET,ELETO565,59.27,2023-09-15,ELET,VENDA,O
ELET,ELETC570,59.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO570,59.50,2023-03-17,ELET,VENDA,O
ELET,ELETE570,60.00,2023-03-17,ELET,COMPRA,E
ELET,ELETQ570,60.00,2023-03-17,ELET,VENDA,Q
ELET,ELETC314,31.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO314,31.50,2023-03-17,ELET,VENDA,O
ELET,ELETC278,32.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO278,32.50,2023-03-17,ELET,VENDA,O
ELET,ELETC334,33.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO334,33.50,2023-03-17,ELET,VENDA,O
ELET,ELETD336,33.75,2023-04-20,ELET,COMPRA,D
ELET,ELETP336,33.75,2023-04-20,ELET,VENDA,P
ELET,ELETD341,34.25,2023-04-20,ELET,COMPRA,D
ELET,ELETP341,34.25,2023-04-20,ELET,VENDA,P
ELET,ELETC305,34.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO305,34.50,2023-03-17,ELET,VENDA,O
ELET,ELETD326,34.75,2023-04-20,ELET,COMPRA,D
ELET,ELETP326,34.75,2023-04-20,ELET,VENDA,P
ELET,ELETD351,35.25,2023-04-20,ELET,COMPRA,D
ELET,ELETP351,35.25,2023-04-20,ELET,VENDA,P
ELET,ELETC333,35.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO333,35.50,2023-03-17,ELET,VENDA,O
ELET,ELETD356,35.75,2023-04-20,ELET,COMPRA,D
ELET,ELETP356,35.75,2023-04-20,ELET,VENDA,P
ELET,ELETD361,36.25,2023-04-20,ELET,COMPRA,D
ELET,ELETP361,36.25,2023-04-20,ELET,VENDA,P
ELET,ELETC364,36.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO364,36.50,2023-03-17,ELET,VENDA,O
ELET,ELETD366,36.75,2023-04-20,ELET,COMPRA,D
ELET,ELETP366,36.75,2023-04-20,ELET,VENDA,P
ELET,ELETC369,37.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO369,37.00,2023-03-17,ELET,VENDA,O
ELET,ELETD371,37.25,2023-04-20,ELET,COMPRA,D
ELET,ELETP371,37.25,2023-04-20,ELET,VENDA,P
ELET,ELETC374,37.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO374,37.50,2023-03-17,ELET,VENDA,O
ELET,ELETD376,37.75,2023-04-20,ELET,COMPRA,D
ELET,ELETP376,37.75,2023-04-20,ELET,VENDA,P
ELET,ELETC379,38.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO379,38.00,2023-03-17,ELET,VENDA,O
ELET,ELETD364,38.25,2023-04-20,ELET,COMPRA,D
ELET,ELETP364,38.25,2023-04-20,ELET,VENDA,P
ELET,ELETC384,38.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO384,38.50,2023-03-17,ELET,VENDA,O
ELET,ELETD386,38.75,2023-04-20,ELET,COMPRA,D
ELET,ELETP386,38.75,2023-04-20,ELET,VENDA,P
ELET,ELETC389,39.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO389,39.00,2023-03-17,ELET,VENDA,O
ELET,ELETD391,39.25,2023-04-20,ELET,COMPRA,D
ELET,ELETP391,39.25,2023-04-20,ELET,VENDA,P
ELET,ELETC394,39.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO394,39.50,2023-03-17,ELET,VENDA,O
ELET,ELETD381,39.75,2023-04-20,ELET,COMPRA,D
ELET,ELETP381,39.75,2023-04-20,ELET,VENDA,P
ELET,ELETC399,40.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO399,40.00,2023-03-17,ELET,VENDA,O
ELET,ELETD401,40.25,2023-04-20,ELET,COMPRA,D
ELET,ELETP401,40.25,2023-04-20,ELET,VENDA,P
ELET,ELETC404,40.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO404,40.50,2023-03-17,ELET,VENDA,O
ELET,ELETD406,40.75,2023-04-20,ELET,COMPRA,D
ELET,ELETP406,40.75,2023-04-20,ELET,VENDA,P
ELET,ELETC409,41.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO409,41.00,2023-03-17,ELET,VENDA,O
ELET,ELETD411,41.25,2023-04-20,ELET,COMPRA,D
ELET,ELETO389,41.25,2023-04-20,ELET,VENDA,O
ELET,ELETD391,41.47,2023-06-16,ELET,COMPRA,D
ELET,ELETP391,41.47,2023-06-16,ELET,VENDA,P
ELET,ELETC394,41.47,2023-12-15,ELET,COMPRA,C
ELET,ELETO394,41.47,2023-12-15,ELET,VENDA,O
ELET,ELETD381,41.50,2023-03-17,ELET,COMPRA,D
ELET,ELETP381,41.50,2023-03-17,ELET,VENDA,P
ELET,ELETC399,41.75,2023-04-20,ELET,COMPRA,C
ELET,ELETO399,41.75,2023-04-20,ELET,VENDA,O
ELET,ELETD401,42.00,2023-03-17,ELET,COMPRA,D
ELET,ELETP401,42.00,2023-03-17,ELET,VENDA,P
ELET,ELETC404,42.25,2023-03-17,ELET,COMPRA,C
ELET,ELETP406,42.25,2023-03-17,ELET,VENDA,P
ELET,ELETC409,42.25,2023-04-20,ELET,COMPRA,C
ELET,ELETO409,42.25,2023-04-20,ELET,VENDA,O
ELET,ELETD411,42.47,2023-06-16,ELET,COMPRA,D
ELET,ELETP411,42.47,2023-06-16,ELET,VENDA,P
ELET,ELETF41,42.47,2023-12-15,ELET,COMPRA,F
ELET,ELETR41,42.47,2023-12-15,ELET,VENDA,R
ELET,ELETL414,42.50,2023-03-17,ELET,COMPRA,L
ELET,ELETX414,42.50,2023-03-17,ELET,VENDA,X
ELET,ELETC414,42.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO414,42.75,2023-03-17,ELET,VENDA,O
ELET,ELETD416,42.75,2023-04-20,ELET,COMPRA,D
ELET,ELETP416,42.75,2023-04-20,ELET,VENDA,P
ELET,ELETC419,43.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO419,43.00,2023-03-17,ELET,VENDA,O
ELET,ELETC421,43.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO421,43.25,2023-03-17,ELET,VENDA,O
ELET,ELETD409,43.25,2023-04-20,ELET,COMPRA,D
ELET,ELETP409,43.25,2023-04-20,ELET,VENDA,P
ELET,ELETF42,43.47,2023-06-16,ELET,COMPRA,F
ELET,ELETR42,43.47,2023-06-16,ELET,VENDA,R
ELET,ELETL424,43.47,2023-12-15,ELET,COMPRA,L
ELET,ELETX424,43.47,2023-12-15,ELET,VENDA,X
ELET,ELETC424,43.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO424,43.50,2023-03-17,ELET,VENDA,O
ELET,ELETC426,43.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO426,43.75,2023-03-17,ELET,VENDA,O
ELET,ELETD426,43.75,2023-04-20,ELET,COMPRA,D
ELET,ELETP426,43.75,2023-04-20,ELET,VENDA,P
ELET,ELETC429,44.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO429,44.00,2023-03-17,ELET,VENDA,O
ELET,ELETC431,44.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO431,44.25,2023-03-17,ELET,VENDA,O
ELET,ELETD421,44.25,2023-04-20,ELET,COMPRA,D
ELET,ELETP421,44.25,2023-04-20,ELET,VENDA,P
ELET,ELETF43,44.47,2023-06-16,ELET,COMPRA,F
ELET,ELETR43,44.47,2023-06-16,ELET,VENDA,R
ELET,ELETL434,44.47,2023-12-15,ELET,COMPRA,L
ELET,ELETX434,44.47,2023-12-15,ELET,VENDA,X
ELET,ELETC434,44.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO434,44.50,2023-03-17,ELET,VENDA,O
ELET,ELETC436,44.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO436,44.75,2023-03-17,ELET,VENDA,O
ELET,ELETD436,44.75,2023-04-20,ELET,COMPRA,D
ELET,ELETP436,44.75,2023-04-20,ELET,VENDA,P
ELET,ELETC439,45.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO439,45.00,2023-03-17,ELET,VENDA,O
ELET,ELETC441,45.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO441,45.25,2023-03-17,ELET,VENDA,O
ELET,ELETD441,45.25,2023-04-20,ELET,COMPRA,D
ELET,ELETP441,45.25,2023-04-20,ELET,VENDA,P
ELET,ELETF44,45.47,2023-06-16,ELET,COMPRA,F
ELET,ELETR44,45.47,2023-06-16,ELET,VENDA,R
ELET,ELETL444,45.47,2023-12-15,ELET,COMPRA,L
ELET,ELETX444,45.47,2023-12-15,ELET,VENDA,X
ELET,ELETC444,45.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO444,45.50,2023-03-17,ELET,VENDA,O
ELET,ELETC446,45.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO446,45.75,2023-03-17,ELET,VENDA,O
ELET,ELETD439,45.75,2023-04-20,ELET,COMPRA,D
ELET,ELETP439,45.75,2023-04-20,ELET,VENDA,P
ELET,ELETC449,46.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO449,46.00,2023-03-17,ELET,VENDA,O
ELET,ELETC451,46.25,2023-03-17,ELET,COMPRA,C
ELET,ELETO451,46.25,2023-03-17,ELET,VENDA,O
ELET,ELETD446,46.25,2023-04-20,ELET,COMPRA,D
ELET,ELETP446,46.25,2023-04-20,ELET,VENDA,P
ELET,ELETF453,46.47,2023-06-16,ELET,COMPRA,F
ELET,ELETR453,46.47,2023-06-16,ELET,VENDA,R
ELET,ELETL454,46.47,2023-12-15,ELET,COMPRA,L
ELET,ELETX454,46.47,2023-12-15,ELET,VENDA,X
ELET,ELETC454,46.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO454,46.50,2023-03-17,ELET,VENDA,O
ELET,ELETC456,46.75,2023-03-17,ELET,COMPRA,C
ELET,ELETO456,46.75,2023-03-17,ELET,VENDA,O
ELET,ELETD456,46.75,2023-04-20,ELET,COMPRA,D
ELET,ELETP456,46.75,2023-04-20,ELET,VENDA,P
ELET,ELETC459,47.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO459,47.00,2023-03-17,ELET,VENDA,O
ELET,ELETC461,47.25,2023-04-20,ELET,COMPRA,C
ELET,ELETO461,47.25,2023-04-20,ELET,VENDA,O
ELET,ELETD461,47.47,2023-06-16,ELET,COMPRA,D
ELET,ELETP461,47.47,2023-06-16,ELET,VENDA,P
ELET,ELETF46,47.47,2023-12-15,ELET,COMPRA,F
ELET,ELETR46,47.47,2023-12-15,ELET,VENDA,R
ELET,ELETL464,47.50,2023-03-17,ELET,COMPRA,L
ELET,ELETX464,47.50,2023-03-17,ELET,VENDA,X
ELET,ELETC464,47.75,2023-04-20,ELET,COMPRA,C
ELET,ELETO464,47.75,2023-04-20,ELET,VENDA,O
ELET,ELETC466,48.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO466,48.00,2023-03-17,ELET,VENDA,O
ELET,ELETD466,48.25,2023-04-20,ELET,COMPRA,D
ELET,ELETP466,48.25,2023-04-20,ELET,VENDA,P
ELET,ELETC469,48.47,2023-06-16,ELET,COMPRA,C
ELET,ELETO469,48.47,2023-06-16,ELET,VENDA,O
ELET,ELETD471,48.47,2023-12-15,ELET,COMPRA,D
ELET,ELETP471,48.47,2023-12-15,ELET,VENDA,P
ELET,ELETF47,48.50,2023-03-17,ELET,COMPRA,F
ELET,ELETR47,48.50,2023-03-17,ELET,VENDA,R
ELET,ELETL474,48.75,2023-04-20,ELET,COMPRA,L
ELET,ELETX474,48.75,2023-04-20,ELET,VENDA,X
ELET,ELETC474,49.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO474,49.00,2023-03-17,ELET,VENDA,O
ELET,ELETD476,49.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP476,49.00,2023-04-20,ELET,VENDA,P
ELET,ELETC479,49.47,2023-06-16,ELET,COMPRA,C
ELET,ELETO479,49.47,2023-06-16,ELET,VENDA,O
ELET,ELETD481,49.47,2023-12-15,ELET,COMPRA,D
ELET,ELETP481,49.47,2023-12-15,ELET,VENDA,P
ELET,ELETF48,49.50,2023-03-17,ELET,COMPRA,F
ELET,ELETR48,49.50,2023-03-17,ELET,VENDA,R
ELET,ELETL484,49.50,2023-04-20,ELET,COMPRA,L
ELET,ELETX484,49.50,2023-04-20,ELET,VENDA,X
ELET,ELETC484,50.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO484,50.00,2023-03-17,ELET,VENDA,O
ELET,ELETD486,50.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP486,50.00,2023-04-20,ELET,VENDA,P
ELET,ELETC489,50.50,2023-04-20,ELET,COMPRA,C
ELET,ELETO489,50.50,2023-04-20,ELET,VENDA,O
ELET,ELETD489,51.00,2023-03-17,ELET,COMPRA,D
ELET,ELETP489,51.00,2023-03-17,ELET,VENDA,P
ELET,ELETF494,51.50,2023-04-20,ELET,COMPRA,F
ELET,ELETR494,51.50,2023-04-20,ELET,VENDA,R
ELET,ELETL494,52.00,2023-03-17,ELET,COMPRA,L
ELET,ELETX494,52.00,2023-03-17,ELET,VENDA,X
ELET,ELETC494,53.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO494,53.00,2023-03-17,ELET,VENDA,O
ELET,ELETD494,54.00,2023-03-17,ELET,COMPRA,D
ELET,ELETP494,54.00,2023-03-17,ELET,VENDA,P
ELET,ELETC499,55.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO499,55.00,2023-03-17,ELET,VENDA,O
ELET,ELETD499,56.00,2023-03-17,ELET,COMPRA,D
ELET,ELETP499,56.00,2023-03-17,ELET,VENDA,P
ELET,ELETD504,57.00,2023-03-17,ELET,COMPRA,D
ELET,ELETP504,57.00,2023-03-17,ELET,VENDA,P
ELET,ELETC509,58.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO509,58.00,2023-03-17,ELET,VENDA,O
ELET,ELETD514,59.00,2023-03-17,ELET,COMPRA,D
ELET,ELETP514,59.00,2023-03-17,ELET,VENDA,P
ELET,ELETC519,60.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO519,60.00,2023-03-17,ELET,VENDA,O
ELET,ELETC529,61.00,2023-03-17,ELET,COMPRA,C
ELET,ELETO529,61.00,2023-03-17,ELET,VENDA,O